id_cliente,qtde_compras,valor_compras,periodo_consumo
101077.0,3,61.8,2024-12
101884.0,3,58.76,2024-12
101565.0,3,68.41,2024-12
100575.0,3,39.81,2024-12
102601.0,3,39.43,2024-12
100926.0,3,46.68,2024-12
100361.0,3,46.02,2024-12
100003.0,3,45.55,2024-12
102290.0,3,66.79,2024-12
101242.0,3,45.63,2024-12
100806.0,3,46.35,2024-12
100641.0,3,62.06,2024-12
102366.0,3,52.08,2024-12
100719.0,3,62.62,2024-12
101546.0,3,39.7,2024-12
101044.0,3,53.3,2024-12
102035.0,3,38.67,2024-12
102376.0,3,39.61,2024-12
101068.0,3,66.8,2024-12
102328.0,3,42.08,2024-12
101997.0,3,54.74,2024-12
102430.0,3,50.84,2024-12
101550.0,3,48.78,2024-12
102167.0,3,66.58,2024-12
102148.0,3,38.29,2024-12
100753.0,3,58.98,2024-12
101011.0,3,68.63,2024-12
100954.0,3,55.64,2024-12
101864.0,3,67.77,2024-12
102539.0,3,39.27,2024-12
101705.0,3,51.08,2024-12
100154.0,3,45.97,2024-12
101572.0,3,61.14,2024-12
101288.0,3,69.21,2024-12
100223.0,2,30.57,2024-12
100296.0,2,39.11,2024-12
102497.0,2,29.32,2024-12
102038.0,2,37.2,2024-12
100854.0,2,35.03,2024-12
101666.0,2,45.94,2024-12
102065.0,2,38.13,2024-12
102500.0,2,32.57,2024-12
101141.0,2,27.51,2024-12
100512.0,2,28.31,2024-12
101316.0,2,29.9,2024-12
102354.0,2,30.45,2024-12
101708.0,2,43.33,2024-12
101671.0,2,37.12,2024-12
102195.0,2,36.3,2024-12
101317.0,2,27.53,2024-12
100525.0,2,43.54,2024-12
101237.0,2,40.59,2024-12
100838.0,2,26.51,2024-12
101273.0,2,40.26,2024-12
102099.0,2,36.74,2024-12
100556.0,2,26.82,2024-12
102541.0,2,34.9,2024-12
100114.0,2,35.47,2024-12
100025.0,2,28.62,2024-12
101128.0,2,45.37,2024-12
101379.0,2,43.32,2024-12
100731.0,2,39.43,2024-12
101361.0,2,34.99,2024-12
101425.0,2,33.9,2024-12
101478.0,2,39.04,2024-12
102565.0,2,36.78,2024-12
100814.0,2,26.4,2024-12
101223.0,2,36.07,2024-12
101782.0,2,42.38,2024-12
100964.0,2,34.92,2024-12
101771.0,2,26.18,2024-12
100752.0,2,41.95,2024-12
102682.0,2,29.39,2024-12
102564.0,2,30.62,2024-12
100064.0,2,28.6,2024-12
102228.0,2,32.15,2024-12
100541.0,2,41.32,2024-12
101659.0,2,36.22,2024-12
100912.0,2,29.46,2024-12
100971.0,2,43.92,2024-12
102428.0,2,43.95,2024-12
101471.0,2,43.76,2024-12
102622.0,2,30.19,2024-12
101452.0,2,34.75,2024-12
102178.0,2,46.22,2024-12
101328.0,2,41.64,2024-12
101837.0,2,25.64,2024-12
101164.0,2,26.46,2024-12
101935.0,2,35.03,2024-12
101125.0,2,44.59,2024-12
102163.0,2,36.63,2024-12
100133.0,2,35.75,2024-12
100487.0,2,27.33,2024-12
102043.0,2,39.17,2024-12
100410.0,2,42.72,2024-12
